Original Air Date,Title,Instructor,Length,Type
Fri Feb 14 08:47:00 2020,Zen in Ten,Kristin McGee,10.0,Zen in Ten
Thu Feb 13 16:00:00 2020,10 min Gratitude Meditation,Aditi Shah,10.0,Emotions
Thu Feb 13 09:13:00 2020,10 min Meditation for Healing,Ross Rayburn,10.0,Emotions
Thu Feb 13 09:19:00 2020,10 min Long Run Meditation,Ross Rayburn,10.0,Fitness Focus
Thu Feb 13 08:48:00 2020,Zen in Ten: Energizing Meditation,Ross Rayburn,10.0,Zen in Ten
Wed Feb 12 08:49:00 2020,Zen in Ten,Kristin McGee,10.0,Zen in Ten
Tue Feb 11 17:01:00 2020,10 min Seasonal Meditation,Ross Rayburn,10.0,Mindfulness
Tue Feb 11 08:47:00 2020,Zen in Ten: Happiness Meditation,Aditi Shah,10.0,Zen in Ten
Tue Feb 11 05:31:00 2020,20 min Peace Meditation,Anna Greenberg,20.0,Emotions
Mon Feb 10 17:01:00 2020,10 min Kindness Meditation,Kristin McGee,10.0,Emotions
Mon Feb 10 15:32:00 2020,20 min Breathing Meditation,Ross Rayburn,20.0,Mindfulness
Mon Feb 10 13:50:00 2020,5 min Calming Meditation,Ross Rayburn,5.0,Relax & Sleep
Mon Feb 10 08:49:00 2020,Zen in Ten,Anna Greenberg,10.0,Zen in Ten
Sun Feb  9 09:06:00 2020,10 min Sleep Meditation,Kristin McGee,10.0,Relax & Sleep
Sun Feb  9 08:58:00 2020,5 min Rest Day Meditation,Kristin McGee,5.0,Fitness Focus
Fri Feb  7 06:27:00 2020,5 min Peace Meditation,Kristin McGee,5.0,Emotions
Thu Feb  6 16:00:00 2020,10 min Acceptance Meditation,Aditi Shah,10.0,Emotions
Wed Feb  5 17:01:00 2020,10 min Patience Meditation,Anna Greenberg,10.0,Emotions
Wed Feb  5 15:31:00 2020,20 min Relaxing Meditation,Aditi Shah,20.0,Relax & Sleep
Wed Feb  5 09:00:00 2020,Zen in Ten,Kristin McGee,10.0,Zen in Ten
