Original Air Date,Title,Instructor,Length,Type
Sun Feb 16 08:40:00 2020,10 min Yoga Flow: Quads,Kristin McGee,10.0,Yoga Flow
Sun Feb 16 07:34:00 2020,45 min Yoga Flow,Kristin McGee,45.0,Yoga Flow
Sun Feb 16 06:17:00 2020,45 min Yoga Flow,Aditi Shah,45.0,Yoga Flow
Sat Feb 15 07:33:00 2020,45 min Yoga Flow,Ross Rayburn,45.0,Yoga Flow
Sat Feb 15 06:17:00 2020,45 min Yoga Flow,Anna Greenberg,45.0,Yoga Flow
Fri Feb 14 04:48:00 2020,45 min Two for One: Yoga Flow,Multiple Instructors,45.0,Yoga Flow
Thu Feb 13 16:19:00 2020,45 min Flow & Let Go,Aditi Shah,45.0,Yoga Flow
Thu Feb 13 15:31:00 2020,20 min Yoga Flow,Anna Greenberg,20.0,Yoga Flow
Thu Feb 13 14:48:00 2020,30 min Yoga Flow,Anna Greenberg,30.0,Yoga Flow
Thu Feb 13 05:31:00 2020,20 min Restorative Yoga,Kristin McGee,20.0,Restorative Yoga
Thu Feb 13 04:49:00 2020,30 min Yoga Flow: Backbends,Kristin McGee,30.0,Yoga Flow
Wed Feb 12 15:31:00 2020,20 min Restorative Yoga,Aditi Shah,20.0,Restorative Yoga
Wed Feb 12 14:48:00 2020,30 min Yoga Flow,Aditi Shah,30.0,Yoga Flow
Wed Feb 12 13:00:00 2020,20 min Prenatal Yoga Flow,Kristin McGee,20.0,Pre & Postnatal Yoga
Wed Feb 12 13:00:00 2020,10 min Postnatal Yoga Flow,Kristin McGee,10.0,Pre & Postnatal Yoga
Wed Feb 12 05:31:00 2020,20 min Slow Flow,Kristin McGee,20.0,Yoga Flow
Wed Feb 12 04:49:00 2020,30 min Yoga Flow,Kristin McGee,30.0,Yoga Flow
Tue Feb 11 16:20:00 2020,30 min Yoga Flow,Ross Rayburn,30.0,Yoga Flow
Tue Feb 11 15:32:00 2020,20 min Yoga Flow,Denis Morton,20.0,Yoga Flow
Tue Feb 11 14:48:00 2020,30 min Slow Flow,Denis Morton,30.0,Yoga Flow
Tue Feb 11 04:47:00 2020,30 min Power Yoga,Anna Greenberg,30.0,Power Yoga
Mon Feb 10 16:18:00 2020,30 min Philly Soul Yoga Flow,Kristin McGee,30.0,Yoga Flow
Mon Feb 10 14:48:00 2020,30 min Yoga Flow,Ross Rayburn,30.0,Yoga Flow
Mon Feb 10 05:31:00 2020,20 min Yoga Flow: Hamstrings,Aditi Shah,20.0,Yoga Flow
Mon Feb 10 04:48:00 2020,30 min Yoga Flow,Aditi Shah,30.0,Yoga Flow
Sun Feb  9 07:33:00 2020,45 min Yoga Flow,Denis Morton,45.0,Yoga Flow
Sun Feb  9 06:18:00 2020,45 min Yoga Flow,Aditi Shah,45.0,Yoga Flow
Sat Feb  8 07:35:00 2020,75 min Yoga Flow,Ross Rayburn,75.0,Yoga Flow
Sat Feb  8 06:18:00 2020,45 min Yoga Flow,Anna Greenberg,45.0,Yoga Flow
Fri Feb  7 05:32:00 2020,20 min Yoga Flow,Ross Rayburn,20.0,Yoga Flow
Fri Feb  7 04:52:00 2020,30 min Morning Yoga Flow,Ross Rayburn,30.0,Yoga Flow
Thu Feb  6 16:18:00 2020,45 min Flow & Let Go,Aditi Shah,45.0,Yoga Flow
Thu Feb  6 15:31:00 2020,20 min Yoga Flow,Anna Greenberg,20.0,Yoga Flow
Thu Feb  6 14:49:00 2020,30 min Yoga Flow: Lower Body,Anna Greenberg,30.0,Yoga Flow
Thu Feb  6 13:20:00 2020,10 min Yoga Flow,Anna Greenberg,10.0,Yoga Flow
Thu Feb  6 05:31:00 2020,20 min Yoga Flow: Chest Openers,Kristin McGee,20.0,Yoga Flow
Thu Feb  6 04:50:00 2020,30 min Yoga Flow,Kristin McGee,30.0,Yoga Flow
Wed Feb  5 16:17:00 2020,30 min Slow Flow,Anna Greenberg,30.0,Yoga Flow
Wed Feb  5 14:48:00 2020,30 min Yoga Flow,Aditi Shah,30.0,Yoga Flow
Wed Feb  5 04:47:00 2020,30 min Power Yoga,Kristin McGee,30.0,Power Yoga
Tue Feb  4 17:00:00 2020,10 min Restorative Yoga,Ross Rayburn,10.0,Restorative Yoga
Tue Feb  4 15:32:00 2020,20 min Restorative Yoga,Denis Morton,20.0,Restorative Yoga
Tue Feb  4 14:48:00 2020,30 min Reset,Denis Morton,30.0,Yoga Flow
Tue Feb  4 08:08:00 2020,10 min Yoga Flow: Glutes,Aditi Shah,10.0,Yoga Flow
Tue Feb  4 05:32:00 2020,20 min Restorative Yoga,Anna Greenberg,20.0,Restorative Yoga
Tue Feb  4 04:48:00 2020,30 min Yoga Flow,Anna Greenberg,30.0,Yoga Flow
Mon Feb  3 17:01:00 2020,10 min Yoga Flow,Kristin McGee,10.0,Yoga Flow
Mon Feb  3 16:19:00 2020,30 min Yoga Flow: Hips,Kristin McGee,30.0,Yoga Flow
Mon Feb  3 14:48:00 2020,30 min Basquiat Celebration Yoga Flow,Ross Rayburn,30.0,Yoga Flow
Mon Feb  3 13:22:00 2020,10 min Standing Yoga,Ross Rayburn,10.0,Yoga Anywhere
Mon Feb  3 05:31:00 2020,20 min Yoga Flow,Aditi Shah,20.0,Yoga Flow
Mon Feb  3 04:49:00 2020,30 min Yoga Flow,Aditi Shah,30.0,Yoga Flow
