Original Air Date,Title,Instructor,Length,Type
Wed Jul  4 05:19:00 2018,45 min Bootcamp: Arms & Shoulders,Matty Maggiacomo,45.0,Body Focus (Bootcamp)
Thu Jun 21 15:19:00 2018,45 min Pride Bootcamp: Full Body,Matty Maggiacomo,45.0,Body Focus (Bootcamp)
Mon Jun 18 06:36:00 2018,30 min Bootcamp: Arms & Shoulders,Robin Arzon,30.0,Body Focus (Bootcamp)
Fri Jun 15 09:19:00 2018,30 min Bootcamp: Full Body,Rebecca Kennedy,30.0,Body Focus (Bootcamp)
Mon Jun 11 15:20:00 2018,45 min 80s Bootcamp,Matty Maggiacomo,45.0,Theme (Bootcamp)
Mon Jun 11 04:50:00 2018,30 min Run + Chest & Back,Matty Maggiacomo,30.0,Body Focus (Bootcamp)
Wed Jun  6 15:19:00 2018,45 min HRZ Bootcamp: Full Body,Rebecca Kennedy,45.0,Heart Rate Bootcamp
Fri Jun  1 02:49:00 2018,45 min Bootcamp: Chest & Back,Rebecca Kennedy,45.0,Body Focus (Bootcamp)
Fri May 25 03:50:00 2018,45 min Rock Bootcamp,Olivia Amato,45.0,Theme (Bootcamp)
Fri May 18 02:50:00 2018,45 min Bootcamp: Chest & Back,Rebecca Kennedy,45.016666666666666,Body Focus (Bootcamp)
Mon May  7 15:19:00 2018,45 min 80s Bootcamp,Matty Maggiacomo,45.0,Theme (Bootcamp)
Mon May  7 04:52:00 2018,30 min Run + Chest & Back,Matty Maggiacomo,30.0,Body Focus (Bootcamp)
Sun May  6 10:20:00 2018,45 min 80s Bootcamp,Matty Maggiacomo,45.0,Theme (Bootcamp)
Fri Aug 24 06:30:00 2018,20 min Bootcamp: Full Body,Rebecca Kennedy,20.0,Body Focus (Bootcamp)
Mon Oct 15 13:49:00 2018,30 min Bootcamp: Arms & Shoulders,Andy Speer,30.0,Body Focus (Bootcamp)
Tue Jun 19 15:30:00 2018,45 min Bootcamp: Bodyweight,Matty Maggiacomo,45.0,Bodyweight (Bootcamp)
