Original Air Date,Type,Instructor,Length
Fri May 24 06:01:00 2019,Warm Up/Cool Down Walking,Becs Gentry,10.0
Thu May 23 09:22:00 2019,Fun Walk,Matty Maggiacomo,30.0
Wed May 22 11:50:00 2019,Fun Walk,Selena Samuela,30.0
Wed May 22 10:19:00 2019,Power Walking,Jess Sims,20.0
Tue May 21 11:52:00 2019,Power Walking,Andy Speer,30.0
Fri May 17 06:48:00 2019,Fun Walk,Becs Gentry,20.0
Sat May 11 09:19:00 2019,Hiking Walking,Matty Maggiacomo,20.0
Fri May 10 08:00:00 2019,Power Walking,Olivia Amato,45.0
Thu May  9 06:16:00 2019,Power Walking,Rebecca Kennedy,30.0
Mon Apr 29 06:22:00 2019,Warm Up/Cool Down Walking,Rebecca Kennedy,10.0
Tue Apr 23 07:19:00 2019,Fun Walk,Robin Arzon,20.0
Mon Apr 22 09:48:00 2019,Power Walking,Andy Speer,20.0
Mon Apr 22 06:06:00 2019,Walk + Run,Rebecca Kennedy,30.0
Mon Apr 22 05:50:00 2019,Warm Up/Cool Down Walking,Rebecca Kennedy,10.0
Sun Apr 21 09:18:00 2019,Power Walking,Selena Samuela,30.0
Sat Apr 13 09:20:00 2019,Power Walking,Matty Maggiacomo,45.0
Fri Apr 12 06:41:00 2019,Power Walking,Andy Speer,45.0
Mon Apr  8 10:36:00 2019,Power Walking,Rebecca Kennedy,20.0
Sat Apr  6 09:14:00 2019,Walk + Run,Matty Maggiacomo,30.0
Wed Apr  3 13:20:00 2019,Fun Walk,Jess Sims,20.0
Wed Apr  3 06:18:00 2019,Fun Walk,Selena Samuela,20.0
Mon Apr  1 07:17:00 2019,Fun Walk,Rebecca Kennedy,30.0
Fri Mar 29 05:49:00 2019,Power Walking,Andy Speer,45.0
Tue Mar 26 10:49:00 2019,Walk + Run,Robin Arzon,30.0
Mon Mar 25 13:07:00 2019,Hiking Walking,Rebecca Kennedy,20.0
Sun Mar 24 09:20:00 2019,Power Walking,Selena Samuela,30.0
Mon Feb 25 06:46:00 2019,Fun Walk,Becs Gentry,20.0
Wed Feb 20 12:36:00 2019,Power Walking,Selena Samuela,20.0
Wed Feb 20 12:17:00 2019,Warm Up/Cool Down Walking,Selena Samuela,10.0
Sat Feb  2 09:25:00 2019,Walk + Run,Chase Tucker,20.0
Fri Feb  1 09:00:00 2019,Fun Walk,Becs Gentry,20.0
Sat Jan 19 09:20:00 2019,Power Walking,Matty Maggiacomo,45.0
Thu Jan 17 06:37:00 2019,Fun Walk,Matty Maggiacomo,20.0
Sat Jan 12 10:16:00 2019,Power Walking,Chase Tucker,30.0
Sat Jan 12 09:50:00 2019,Power Walking,Matty Maggiacomo,20.0
Fri Jan  4 05:53:00 2019,Fun Walk,Andy Speer,30.0
Thu Jan  3 09:50:00 2019,Walk + Run,Selena Samuela,30.0
Wed Jan  2 06:42:00 2019,Warm Up/Cool Down Walking,Chase Tucker,10.0
Mon Dec 31 11:50:00 2018,Fun Walk,Chase Tucker,20.0
Mon Dec 31 10:22:00 2018,Warm Up/Cool Down Walking,Becs Gentry,10.0
Fri Dec 21 08:22:00 2018,Fun Walk,Becs Gentry,30.0
Sat Dec 15 09:35:00 2018,Power Walking,Matty Maggiacomo,20.0
Sat Dec 15 09:19:00 2018,Warm Up/Cool Down Walking,Matty Maggiacomo,10.0
Fri Dec 14 07:30:00 2018,Warm Up/Cool Down Walking,Andy Speer,10.0
Mon Dec 10 06:16:00 2018,Warm Up/Cool Down Walking,Andy Speer,10.0
Sun Dec  2 10:20:00 2018,Fun Walk,Selena Samuela,20.0
Thu Nov 29 06:47:00 2018,Warm Up/Cool Down Walking,Matty Maggiacomo,10.0
Tue Nov 27 14:07:00 2018,Warm Up/Cool Down Walking,Chase Tucker,10.0
Tue Nov 27 13:38:00 2018,Fun Walk,Chase Tucker,20.0
Fri Nov 23 11:51:00 2018,Warm Up/Cool Down Walking,Selena Samuela,10.0
Fri Nov 23 09:55:00 2018,Fun Walk,Olivia Amato,20.0
Fri Nov 16 06:32:00 2018,Warm Up/Cool Down Walking,Rebecca Kennedy,10.0
Thu Nov 15 07:32:00 2018,Fun Walk,Becs Gentry,30.0
Tue Nov  6 09:53:00 2018,Fun Walk,Andy Speer,20.0
Mon Nov  5 05:50:00 2018,Warm Up/Cool Down Walking,Andy Speer,10.0
Fri Nov  2 07:53:00 2018,Warm Up/Cool Down Walking,Matty Maggiacomo,10.0
Fri Nov  2 05:50:00 2018,Warm Up/Cool Down Walking,Rebecca Kennedy,10.0
Mon Oct 29 13:54:00 2018,Power Walking,Andy Speer,20.0
Sat Oct 20 10:19:00 2018,Fun Walk,Selena Samuela,30.0
Thu Sep 13 14:23:00 2018,Walk + Run,Olivia Amato,30.0
Tue Jul 17 13:19:00 2018,Walk + Run,Rebecca Kennedy,20.0
Tue Jul 10 13:20:00 2018,Power Walking,Matty Maggiacomo,20.0
Wed Jun 13 13:00:00 2018,Fun Walk,Matty Maggiacomo,20.0
Thu Feb 28 05:50:00 2019,Power Walking,Matty Maggiacomo,30.0
Mon Aug  5 04:51:00 2019,Walk + Run,Jess Sims,45.0
Mon Jun 24 05:49:00 2019,Fun Walk,Rebecca Kennedy,30.0
