Original Air Date,Type,Instructor,Length
Tue Jul 23 12:49:00 2019,Pre & Post-Run Stretch,Chase Tucker,5.0
Tue Jul 23 06:30:00 2019,Upper Body Stretch,Andy Speer,10.0
Sat Jul 20 10:44:00 2019,Pre & Post-Run Stretch,Olivia Amato,10.0
Sat Jul 20 10:34:00 2019,Pre & Post-Run Stretch,Olivia Amato,5.0
Sat Jul 20 10:16:00 2019,Pre & Post-Run Stretch,Olivia Amato,10.0
Fri Jul 19 08:31:00 2019,Lower Body Stretch,Becs Gentry,5.0
Fri Jul 19 06:48:00 2019,Pre & Post-Run Stretch,Andy Speer,10.0
Wed Jul 17 11:22:00 2019,Pre & Post-Ride Stretch,Ally Love,5.0
Mon Jul 15 10:48:00 2019,Pre & Post-Ride Stretch,Hannah Corbin,5.0
Fri Jul 12 11:16:00 2019,Lower Body Stretch,Matt Wilpers,10.0
Thu Jul 11 11:11:00 2019,Lower Body Stretch,Jess Sims,5.0
Wed Jul 10 13:24:00 2019,Upper Body Stretch,Selena Samuela,10.0
Wed Jul 10 12:54:00 2019,Lower Body Stretch,Selena Samuela,10.0
Wed Jul 10 10:24:00 2019,Upper Body Stretch,Rebecca Kennedy,10.0
Wed Jul 10 10:11:00 2019,Pre & Post-Run Stretch,Rebecca Kennedy,10.0
Tue Jul  9 11:49:00 2019,Pre & Post-Ride Stretch,Christine D'Ercole,5.0
Mon Jul  8 10:27:00 2019,Pre & Post-Ride Stretch,Olivia Amato,5.0
Mon Jul  8 09:20:00 2019,Full Body Stretch,Becs Gentry,10.0
Mon Jul  8 02:48:00 2019,Pre & Post-Run Stretch,Selena Samuela,10.0
Fri Jul  5 09:51:00 2019,Lower Body Stretch,Andy Speer,10.0
Wed Jul  3 10:38:00 2019,Pre & Post-Run Stretch,Rebecca Kennedy,10.0
Wed Jul  3 08:53:00 2019,Pre & Post-Run Stretch,Matty Maggiacomo,5.0
Wed Jul  3 08:26:00 2019,Lower Body Stretch,Chase Tucker,10.0
Wed Jul  3 07:28:00 2019,Pre & Post-Run Stretch,Selena Samuela,10.0
Wed Jul  3 05:47:00 2019,Pre & Post-Run Stretch,Jess Sims,5.0
Tue Jul  2 15:02:00 2019,Full Body Stretch,Rebecca Kennedy,10.0
Tue Jul  2 11:32:00 2019,Pre & Post-Ride Stretch,Robin Arzon,5.0
Fri Jun 28 06:29:00 2019,Full Body Stretch,Andy Speer,10.0
Wed Jun 26 13:36:00 2019,Pre & Post-Run Stretch,Selena Samuela,5.0
