Original Air Date,Title,Instructor,Length,Type
Fri May 29 15:32:00 2020,15 min Pop Ride ,Ally Love,15.0,Theme
Fri May 29 14:49:00 2020,30 min BTS Ride,Ally Love,30.0,Theme
Fri May 29 14:04:00 2020,20 min 2000s Hip Hop Ride ,Tunde Oyeneyin,20.0,Theme
Fri May 29 14:00:00 2020,30 min Power Zone Max Ride ,Denis Morton,30.0,Power Zone
Fri May 29 13:22:00 2020,30 min 90s Pop Ride,Tunde Oyeneyin,30.0,Theme
Fri May 29 13:00:00 2020,30 min Intervals & Arms Ride,Emma Lovewell,30.0,Intervals
Fri May 29 11:53:00 2020,20 min 2000s Ride ,Olivia Amato,20.0,Theme
Fri May 29 11:22:00 2020,20 min HIIT Ride ,Olivia Amato,20.0,Intervals
Fri May 29 09:25:00 2020,30 min Club Bangers Ride: Live from Home,Alex Toussaint,30.0,Theme
Fri May 29 07:00:00 2020,30 min 2000s Ride,Hannah Frankson,30.0,Theme
Fri May 29 04:50:00 2020,30 min Pop Ride,Sam Yo,30.0,Theme
Thu May 28 21:00:00 2020,30 min Intervals & Arms: Live From Home ,Jenn Sherman,30.0,Intervals
Thu May 28 15:24:00 2020,20 min 90s Rock Ride,Christine D'Ercole,20.0,Theme
Thu May 28 14:50:00 2020,20 min AHM Celebration Ride,Christine D'Ercole,20.0,Theme
Thu May 28 14:05:00 2020,20 min HIIT Ride,Hannah Corbin,20.0,Intervals
Thu May 28 14:00:00 2020,20 min Hip Hop Ride,Jess King,20.0,Theme
Thu May 28 13:22:00 2020,30 min Pop Ride,Hannah Corbin,30.0,Theme
Thu May 28 13:00:00 2020,30 min AHM: Power Zone Endurance Ride,Matt Wilpers,30.0,Power Zone
Thu May 28 09:23:00 2020,30 min HIIT & Hills Ride: Live from Home,Ally Love,30.0,Intervals
Thu May 28 07:00:00 2020,5 min Warm Up Ride ,Christine D'Ercole,5.0,Low Impact
Thu May 28 07:00:00 2020,10 min Cool Down Ride ,Denis Morton,10.0,Low Impact
Thu May 28 07:00:00 2020,45 min Rock Ride,Sam Yo,45.0,Theme
Thu May 28 05:55:00 2020,30 min Intervals & Arms: Live from Home,Leanne Hainsby,30.0,Intervals
Thu May 28 03:50:00 2020,45 min Pop Ride,Hannah Frankson,45.0,Theme
Wed May 27 15:34:00 2020,20 min AHM Celebration Ride,Emma Lovewell,20.0,Theme
Wed May 27 14:50:00 2020,30 min 88Rising Ride,Emma Lovewell,30.0,Theme
Wed May 27 14:05:00 2020,20 min Country Ride,Matt Wilpers,20.0,Theme
Wed May 27 14:00:00 2020,20 min Beginner Ride ,Cody Rigsby,20.0,Beginner
Wed May 27 13:20:00 2020,30 min Power Zone Endurance Ride,Matt Wilpers,30.0,Power Zone
Wed May 27 13:00:00 2020,20 min AHM: Pop Ride,Tunde Oyeneyin,20.0,Theme
Wed May 27 12:05:00 2020,20 min Rock Ride,Kendall Toole,20.0,Theme
Wed May 27 11:19:00 2020,30 min Intervals & Arms Ride,Kendall Toole,30.0,Intervals
Wed May 27 09:55:00 2020,30 min Tabata Ride: Live from Home,Irène Scholz,30.0,Intervals
Wed May 27 09:22:00 2020,30 min Hip Hop Ride: Live from Home,Robin Arzon,30.0,Theme
