Original Air Date,Type,Instructor,Length
Thu Feb 13 03:21:00 2020,Intervals Running,Becs Gentry,20.0
Thu Feb 13 02:48:00 2020,Fun Run,Becs Gentry,20.0
Wed Feb 12 16:18:00 2020,Fun Run,Rebecca Kennedy,30.0
Wed Feb 12 04:47:00 2020,Intervals Running,Andy Speer,30.0
Wed Feb 12 03:31:00 2020,Warm Up/Cool Down Running,Matt Wilpers,10.0
Wed Feb 12 02:48:00 2020,Intervals Running,Matt Wilpers,30.0
Tue Feb 11 16:19:00 2020,Endurance,Becs Gentry,60.0
Tue Feb 11 15:20:00 2020,Intervals Running,Selena Samuela,45.0
Tue Feb 11 04:48:00 2020,Fun Run,Olivia Amato,30.0
Mon Feb 10 14:19:00 2020,Intervals Running,Becs Gentry,30.0
Mon Feb 10 04:21:00 2020,Fun Run,Selena Samuela,20.0
Mon Feb 10 03:48:00 2020,Intervals Running,Selena Samuela,20.0
Sun Feb  9 07:47:00 2020,Endurance,Matt Wilpers,60.0
Sat Feb  8 05:19:00 2020,Fun Run,Becs Gentry,45.0
Fri Feb  7 08:48:00 2020,Fun Run,Andy Speer,30.0
Fri Feb  7 07:03:00 2020,Fun Run,Becs Gentry,20.0
Fri Feb  7 06:00:00 2020,Warm Up/Cool Down Running,Andy Speer,10.0
Fri Feb  7 03:48:00 2020,Intervals Running,Selena Samuela,30.0
Fri Feb  7 03:22:00 2020,Intervals Running,Rebecca Kennedy,20.0
Thu Feb  6 15:52:00 2020,Fun Run,Selena Samuela,20.0
Thu Feb  6 14:19:00 2020,Fun Run,Olivia Amato,45.0
Thu Feb  6 04:48:00 2020,Intervals Running,Matty Maggiacomo,20.0
Thu Feb  6 03:48:00 2020,Fun Run,Jess Sims,20.0
Thu Feb  6 02:48:00 2020,Speed Running,Becs Gentry,45.0
Wed Feb  5 16:30:00 2020,Fun Run,Rebecca Kennedy,20.0
Wed Feb  5 15:18:00 2020,Fun Run,Matty Maggiacomo,45.0
Wed Feb  5 06:13:00 2020,Intervals Running,Selena Samuela,20.0
Wed Feb  5 04:48:00 2020,Fun Run,Andy Speer,20.0
Wed Feb  5 03:21:00 2020,Intervals Running,Matt Wilpers,20.0
Wed Feb  5 02:47:00 2020,Fun Run,Matt Wilpers,20.0
Tue Feb  4 16:19:00 2020,Intervals Running,Becs Gentry,60.0
Tue Feb  4 15:18:00 2020,Fun Run,Selena Samuela,45.0
Tue Feb  4 04:48:00 2020,Intervals Running,Olivia Amato,30.0
Tue Feb  4 02:48:00 2020,Intervals Running,Andy Speer,45.0
Mon Feb  3 17:02:00 2020,Intervals Running,Matty Maggiacomo,20.0
Mon Feb  3 16:18:00 2020,Fun Run,Matty Maggiacomo,30.0
Mon Feb  3 15:20:00 2020,Fun Run,Chase Tucker,45.0
Mon Feb  3 03:00:00 2020,Intervals Running,Olivia Amato,45.0
Sun Feb  2 08:47:00 2020,Warm Up/Cool Down Running,Matt Wilpers,10.0
Sun Feb  2 07:54:00 2020,Intervals Running,Matt Wilpers,45.0
Sun Feb  2 06:19:00 2020,Speed Running,Rebecca Kennedy,30.0
Sun Feb  2 05:18:00 2020,Fun Run,Andy Speer,45.0
Sat Feb  1 06:40:00 2020,Speed Running,Chase Tucker,30.0
Sat Feb  1 06:17:00 2020,Warm Up/Cool Down Running,Chase Tucker,10.0
Sat Feb  1 05:19:00 2020,Fun Run,Becs Gentry,45.0
Sat Feb  1 04:00:00 2020,Running Skills,Becs Gentry,20.0
Fri Jan 31 09:00:00 2020,Scenic (Running),None,30.0
Fri Jan 31 09:00:00 2020,Scenic (Running),None,10.0
Fri Jan 31 09:00:00 2020,Scenic (Running),None,20.0
Fri Jan 31 09:00:00 2020,Scenic (Running),None,15.0
Fri Jan 31 08:49:00 2020,Fun Run,Andy Speer,30.0
Fri Jan 31 09:00:00 2020,Scenic (Running),None,15.0
Fri Jan 31 07:32:00 2020,Warm Up/Cool Down Running,Becs Gentry,10.0
Fri Jan 31 06:54:00 2020,Intervals Running,Becs Gentry,30.0
Fri Jan 31 06:32:00 2020,Endurance,Andy Speer,10.0
Fri Jan 31 04:51:00 2020,Fun Run,Becs Gentry,20.0
Fri Jan 31 03:32:00 2020,Endurance,Rebecca Kennedy,10.0
Thu Jan 30 14:17:00 2020,Fun Run,Olivia Amato,45.0
Thu Jan 30 04:49:00 2020,Intervals Running,Becs Gentry,45.0
Thu Jan 30 03:49:00 2020,Fun Run,Jess Sims,30.0
Thu Jan 30 02:48:00 2020,Intervals Running,Becs Gentry,30.0
Wed Jan 29 15:19:00 2020,Intervals Running,Matty Maggiacomo,45.0
Wed Jan 29 04:48:00 2020,Intervals Running,Andy Speer,30.0
