Thu Jun 11 13:00:00 2020,Theme,cycling,Hannah Corbin,15.0
Thu Jun 11 11:20:00 2020,Full Body (Strength & Toning),strength,Jess Sims,30.0
Thu Jun 11 09:25:00 2020,Theme,cycling,Jenn Sherman,30.0
Thu Jun 11 07:54:00 2020,Speed Running,running,Olivia Amato,30.0
Thu Jun 11 07:30:00 2020,Theme,cycling,Sam Yo,20.0
Thu Jun 11 03:50:00 2020,Theme,cycling,Hannah Frankson,30.0
Wed Jun 10 15:34:00 2020,Theme,cycling,Matt Wilpers,15.0
Wed Jun 10 15:03:00 2020,Emotions,meditation,Kristin McGee,10.0
Wed Jun 10 14:49:00 2020,Intervals,cycling,Matt Wilpers,30.0
Wed Jun 10 14:19:00 2020,Yoga Flow,yoga,Kristin McGee,30.0
Wed Jun 10 14:03:00 2020,Low Impact,cycling,Kendall Toole,10.0
Wed Jun 10 13:19:00 2020,Theme,cycling,Kendall Toole,30.0
Wed Jun 10 13:00:00 2020,Beginner,cycling,Christine D'Ercole,20.0
Wed Jun 10 12:18:00 2020,Yoga Flow,yoga,Aditi Shah,45.0
Wed Jun 10 09:24:00 2020,Theme,cycling,Robin Arzon,30.0
Wed Jun 10 07:51:00 2020,Upper Body (strength & toning),strength,Jess Sims,20.0
Wed Jun 10 07:00:00 2020,Theme,cycling,Hannah Frankson,20.0
Wed Jun 10 07:00:00 2020,Full Body (Strength & Toning),strength,Matty Maggiacomo,30.0
Wed Jun 10 07:00:00 2020,Emotions,meditation,Ross Rayburn,5.0
Wed Jun 10 07:00:00 2020,Body Focus (Bootcamp),circuit,Chase Tucker,30.0
Wed Jun 10 07:00:00 2020,Upper Body (strength & toning),strength,Rebecca Kennedy,20.0
Wed Jun 10 05:55:00 2020,Intervals,cycling,Ben Alldis,30.0
Wed Jun 10 03:51:00 2020,Theme,cycling,Sam Yo,45.0
Wed Jun 10 03:50:00 2020,Fun Run,running,Becs Gentry,30.0
Tue Jun  9 14:48:00 2020,Theme,cycling,Tunde Oyeneyin,30.0
Tue Jun  9 14:49:00 2020,Theme (Bootcamp),circuit,Adrian Williams,45.0
Tue Jun  9 13:52:00 2020,Intervals,cycling,Olivia Amato,20.0
Tue Jun  9 13:17:00 2020,Theme,cycling,Olivia Amato,20.0
Tue Jun  9 13:00:00 2020,Intervals,cycling,Cody Rigsby,30.0
Tue Jun  9 13:00:00 2020,Power Zone,cycling,Denis Morton,45.0
Tue Jun  9 12:34:00 2020,Core (Strength & Toning),strength,Robin Arzon,10.0
Tue Jun  9 11:48:00 2020,Fun Run,running,Robin Arzon,30.0
